frameId,x_above,y_above,xa_above,ya_above,xb_above,yb_above,xc_above,yc_above,xd_above,yd_above,x_side,y_side,xa_side,ya_side,xb_side,yb_side,xc_side,yc_side,xd_side,yd_side,height,swimmerId,underwater,video,interpolateData
66,0,0,0,0,0,0,0,0,0,0,1129,711,996,613,1250,613,1250,808,996,808,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
67,0,0,0,0,0,0,0,0,0,0,1144,719,996,615,1249,615,1249,809,996,809,253,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
68,0,0,0,0,0,0,0,0,0,0,1106,693,1000,617,1215,617,1215,799,1000,799,215,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
69,0,0,0,0,0,0,0,0,0,0,874,731,764,674,975,674,975,799,764,799,211,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
70,0,0,0,0,0,0,0,0,0,0,1133,706,1013,617,1236,617,1236,817,1013,817,223,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
71,0,0,0,0,0,0,0,0,0,0,1149,722,1023,615,1238,615,1238,818,1023,818,215,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
72,0,0,0,0,0,0,0,0,0,0,1138,700,1022,546,1240,546,1240,821,1022,821,218,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
73,0,0,0,0,0,0,0,0,0,0,1126,690,981,520,1241,520,1241,826,981,826,260,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
74,0,0,0,0,0,0,0,0,0,0,1092,659,978,516,1224,516,1224,782,978,782,246,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
75,0,0,0,0,0,0,0,0,0,0,1093,657,978,519,1224,519,1224,781,978,781,246,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
76,0,0,0,0,0,0,0,0,0,0,1100,662,978,523,1219,523,1219,782,978,782,241,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
77,0,0,0,0,0,0,0,0,0,0,1094,661,976,521,1213,521,1213,783,976,783,237,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
78,0,0,0,0,0,0,0,0,0,0,891,731,764,672,1004,672,1004,815,764,815,240,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
79,0,0,0,0,0,0,0,0,0,0,889,745,697,668,1041,668,1041,826,697,826,344,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
80,0,0,0,0,0,0,0,0,0,0,889,734,700,672,1043,672,1043,824,700,824,343,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
81,0,0,0,0,0,0,0,0,0,0,897,736,715,671,1043,671,1043,823,715,823,328,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
82,0,0,0,0,0,0,0,0,0,0,1117,681,928,498,1255,498,1255,837,928,837,327,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
83,0,0,0,0,0,0,0,0,0,0,1121,689,950,504,1256,504,1256,833,950,833,306,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
84,0,0,0,0,0,0,0,0,0,0,1134,701,1008,548,1256,548,1256,811,1008,811,248,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
85,0,0,0,0,0,0,0,0,0,0,917,747,766,693,1023,693,1023,807,766,807,257,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
86,0,0,0,0,0,0,0,0,0,0,1140,718,1022,597,1253,597,1253,810,1022,810,231,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
87,0,0,0,0,0,0,0,0,0,0,1133,719,996,597,1250,597,1250,811,996,811,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
88,0,0,0,0,0,0,0,0,0,0,899,740,770,697,973,697,973,807,770,807,203,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
89,0,0,0,0,0,0,0,0,0,0,1142,724,1038,598,1252,598,1252,813,1038,813,214,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
90,0,0,0,0,0,0,0,0,0,0,1145,723,1032,598,1255,598,1255,813,1032,813,223,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
91,0,0,0,0,0,0,0,0,0,0,918,751,771,687,1045,687,1045,811,771,811,274,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
92,0,0,0,0,0,0,0,0,0,0,901,743,772,686,1002,686,1002,811,772,811,230,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
93,0,0,0,0,0,0,0,0,0,0,1145,716,1002,619,1258,619,1258,817,1002,817,256,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
94,0,0,0,0,0,0,0,0,0,0,1141,716,1002,619,1256,619,1256,818,1002,818,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
95,0,0,0,0,0,0,0,0,0,0,1146,724,998,620,1254,620,1254,821,998,821,256,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
96,0,0,0,0,0,0,0,0,0,0,1149,726,999,620,1249,620,1249,823,999,823,250,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
97,0,0,0,0,0,0,0,0,0,0,1148,732,1000,621,1252,621,1252,826,1000,826,252,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
98,0,0,0,0,0,0,0,0,0,0,1143,738,1002,621,1256,621,1256,827,1002,827,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
99,0,0,0,0,0,0,0,0,0,0,1151,749,1004,631,1262,631,1262,831,1004,831,258,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
100,0,0,0,0,0,0,0,0,0,0,1156,733,1019,633,1267,633,1267,831,1019,831,248,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
101,0,0,0,0,0,0,0,0,0,0,1163,742,1012,632,1268,632,1268,831,1012,831,256,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
102,0,0,0,0,0,0,0,0,0,0,1163,744,1031,631,1269,631,1269,834,1031,834,238,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
103,0,0,0,0,0,0,0,0,0,0,1153,737,1027,630,1269,630,1269,835,1027,835,242,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
104,0,0,0,0,0,0,0,0,0,0,1164,741,1024,629,1268,629,1268,835,1024,835,244,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
105,0,0,0,0,0,0,0,0,0,0,1158,738,1026,628,1265,628,1265,835,1026,835,239,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
106,0,0,0,0,0,0,0,0,0,0,1097,677,975,520,1220,520,1220,826,975,826,245,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
107,0,0,0,0,0,0,0,0,0,0,1130,701,974,526,1248,526,1248,838,974,838,274,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
108,0,0,0,0,0,0,0,0,0,0,1132,708,974,523,1251,523,1251,839,974,839,277,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
109,0,0,0,0,0,0,0,0,0,0,1133,706,974,524,1251,524,1251,840,974,840,277,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
110,0,0,0,0,0,0,0,0,0,0,1144,739,1014,599,1250,599,1250,842,1014,842,236,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
111,0,0,0,0,0,0,0,0,0,0,892,749,723,688,967,688,967,838,723,838,244,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
112,0,0,0,0,0,0,0,0,0,0,895,754,724,690,980,690,980,846,724,846,256,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
113,0,0,0,0,0,0,0,0,0,0,1138,726,998,598,1242,598,1242,847,998,847,244,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
114,0,0,0,0,0,0,0,0,0,0,1121,720,978,597,1241,597,1241,824,978,824,263,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
115,0,0,0,0,0,0,0,0,0,0,1126,723,982,598,1241,598,1241,823,982,823,259,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
116,0,0,0,0,0,0,0,0,0,0,1129,725,987,599,1249,599,1249,823,987,823,262,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
117,0,0,0,0,0,0,0,0,0,0,1129,721,1005,599,1254,599,1254,821,1005,821,249,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
118,0,0,0,0,0,0,0,0,0,0,1130,722,1015,600,1255,600,1255,816,1015,816,240,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
119,0,0,0,0,0,0,0,0,0,0,870,735,760,673,984,673,984,817,760,817,224,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
120,0,0,0,0,0,0,0,0,0,0,1101,681,1021,559,1208,559,1208,799,1021,799,187,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
121,0,0,0,0,0,0,0,0,0,0,878,752,769,692,985,692,985,825,769,825,216,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
122,0,0,0,0,0,0,0,0,0,0,1124,722,989,624,1235,624,1235,813,989,813,246,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
123,0,0,0,0,0,0,0,0,0,0,1130,718,1000,624,1232,624,1232,813,1000,813,232,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
124,0,0,0,0,0,0,0,0,0,0,418,414,343,343,526,343,526,480,343,480,183,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
125,0,0,0,0,0,0,0,0,0,0,1133,729,992,622,1227,622,1227,834,992,834,235,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
126,0,0,0,0,0,0,0,0,0,0,1136,729,993,621,1229,621,1229,834,993,834,236,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
127,0,0,0,0,0,0,0,0,0,0,1133,722,1002,618,1234,618,1234,834,1002,834,232,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
128,0,0,0,0,0,0,0,0,0,0,1134,722,1004,618,1242,618,1242,834,1004,834,238,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
129,0,0,0,0,0,0,0,0,0,0,1137,725,1008,618,1245,618,1245,837,1008,837,237,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
130,0,0,0,0,0,0,0,0,0,0,1105,707,1010,618,1204,618,1204,817,1010,817,194,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
131,0,0,0,0,0,0,0,0,0,0,423,411,342,352,540,352,540,469,342,469,198,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
132,0,0,0,0,0,0,0,0,0,0,416,423,340,352,543,352,543,501,340,501,203,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
133,0,0,0,0,0,0,0,0,0,0,1099,701,1007,615,1207,615,1207,818,1007,818,200,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
134,0,0,0,0,0,0,0,0,0,0,1099,705,1000,614,1207,614,1207,818,1000,818,207,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
135,0,0,0,0,0,0,0,0,0,0,412,415,341,358,530,358,530,473,341,473,189,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
136,0,0,0,0,0,0,0,0,0,0,1135,733,1005,612,1238,612,1238,847,1005,847,233,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
137,0,0,0,0,0,0,0,0,0,0,1125,729,1008,610,1237,610,1237,851,1008,851,229,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
138,0,0,0,0,0,0,0,0,0,0,1151,754,1041,639,1238,639,1238,853,1041,853,197,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
139,0,0,0,0,0,0,0,0,0,0,877,750,711,688,978,688,978,826,711,826,267,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
140,0,0,0,0,0,0,0,0,0,0,872,756,715,702,963,702,963,830,715,830,248,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
141,0,0,0,0,0,0,0,0,0,0,1139,725,1012,610,1237,610,1237,859,1012,859,225,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
142,0,0,0,0,0,0,0,0,0,0,1127,715,1007,610,1235,610,1235,860,1007,860,228,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
143,0,0,0,0,0,0,0,0,0,0,1136,724,1016,611,1233,611,1233,859,1016,859,217,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
144,0,0,0,0,0,0,0,0,0,0,1138,725,1020,611,1231,611,1231,863,1020,863,211,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
145,0,0,0,0,0,0,0,0,0,0,1129,735,1015,611,1229,611,1229,855,1015,855,214,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
146,0,0,0,0,0,0,0,0,0,0,1132,738,1017,569,1229,569,1229,865,1017,865,212,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
147,0,0,0,0,0,0,0,0,0,0,407,426,324,349,519,349,519,499,324,499,195,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
148,0,0,0,0,0,0,0,0,0,0,1153,796,1011,699,1233,699,1233,870,1011,870,222,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
149,0,0,0,0,0,0,0,0,0,0,1105,692,1008,568,1210,568,1210,792,1008,792,202,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
150,0,0,0,0,0,0,0,0,0,0,1092,680,958,540,1212,540,1212,793,958,793,254,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
151,0,0,0,0,0,0,0,0,0,0,1112,696,958,538,1235,538,1235,819,958,819,277,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
152,0,0,0,0,0,0,0,0,0,0,1111,694,959,538,1229,538,1229,812,959,812,270,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
153,0,0,0,0,0,0,0,0,0,0,1109,691,959,538,1228,538,1228,812,959,812,269,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
154,0,0,0,0,0,0,0,0,0,0,1134,727,1030,627,1234,627,1234,817,1030,817,204,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
155,0,0,0,0,0,0,0,0,0,0,1122,721,1008,626,1231,626,1231,818,1008,818,223,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
156,0,0,0,0,0,0,0,0,0,0,1136,731,1012,640,1224,640,1224,819,1012,819,212,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
157,0,0,0,0,0,0,0,0,0,0,879,767,749,717,979,717,979,866,749,866,230,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
158,0,0,0,0,0,0,0,0,0,0,860,754,735,694,945,694,945,844,735,844,210,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
159,0,0,0,0,0,0,0,0,0,0,869,757,746,710,949,710,949,840,746,840,203,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
160,0,0,0,0,0,0,0,0,0,0,882,760,746,713,949,713,949,839,746,839,203,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
161,0,0,0,0,0,0,0,0,0,0,889,765,744,712,959,712,959,839,744,839,215,1,False,2022_CFJe_HIVER_SOLO_QUALIF_DUHAUDT,False
